,0
0,"('AALESUND                                          ', )"
1,"('AARHUS                                            ', )"
2,"('ABAKAN                                            ', )"
3,"('ABIDJAN                                           ', )"
4,"('ABU DHABI                                         ', )"
5,"('ABURATSU                                          ', )"
6,"('ACAJUTLA                                          ', )"
7,"('ACAPULCO                                          ', )"
8,"('ADABIYA                                           ', )"
9,"('ADDIS ABABA                                       ', )"
10,"('ADELAIDE', )"
11,"('ADEN                                              ', )"
12,"('AGADIR                                            ', )"
13,"('AGIRA (Inland Point)', )"
14,"('AHMEDABAD                                         ', )"
15,"('AITUTAKI                                          ', )"
16,"('AKITA                                             ', )"
17,"('AKMOLA                                            ', )"
18,"('ALEXANDRIA                                        ', )"
19,"('ALGECIRAS                                         ', )"
20,"('ALGIERS                                           ', )"
21,"('ALICANTE                                          ', )"
22,"('ALMATY', )"
23,"('ALOTAU                                            ', )"
24,"('ALTAMIRA                                          ', )"
25,"('AMMAN                                             ', )"
26,"('AMSTERDAM                                         ', )"
27,"('ANQING', )"
28,"('ANCONA                                            ', )"
29,"('ANDERSON                                          ', )"
30,"('ANNABA                                            ', )"
31,"('ANTIGUA                                           ', )"
32,"('ANTOFAGASTA                                       ', )"
33,"('ANTWERP                                           ', )"
34,"('AOTOU                                             ', )"
35,"('APAPA                                             ', )"
36,"('APIA                                              ', )"
37,"('AQABA                                             ', )"
38,"('AQABA ZERKA FREE ZONE                             ', )"
39,"('ARCHANGELSK                                       ', )"
40,"('ARICA                                             ', )"
41,"('ARUBA                                             ', )"
42,"('ASHDOD                                            ', )"
43,"('ASHKHABAD                                         ', )"
44,"('ASMARA                                            ', )"
45,"('ASSAB                                             ', )"
46,"('ASTRAKHAN                                         ', )"
47,"('ASUNCION                                          ', )"
48,"('ATHENS                                            ', )"
49,"('ATLANTA                                           ', )"
50,"('ATLIXCO                                           ', )"
51,"('AUCKLAND                                          ', )"
52,"('BAHAMA                                            ', )"
53,"('BAHRAIN                                           ', )"
54,"('BAKU                                              ', )"
55,"('BALBOA                                            ', )"
56,"('BALCLUTHA                                         ', )"
57,"('BALTIMORE                                         ', )"
58,"('BAMAKO                                            ', )"
59,"('BANDAR ABBAS                                      ', )"
60,"('BANDAR KHOMEINI                                   ', )"
61,"('BANGALORE                                         ', )"
62,"('BANGBU                                            ', )"
63,"('BANGKOK                                           ', )"
64,"('BANGKOK (BMT)                                     ', )"
65,"('BANGKOK (PAT)                                     ', )"
66,"('BANGPAKONG                                        ', )"
67,"('BANJUL                                            ', )"
68,"('BAOYING                                           ', )"
69,"('BARCELONA                                         ', )"
70,"('BARI                                              ', )"
